,cloudiness,country,date,humidity,lat,lon,maxtemp,wind_speed
526,40,CN,1561606045,74,25.02,118.29,87.8,6.71
527,2,BR,1561605981,48,-13.28,-50.16,71.33,3.49
528,0,SE,1561606045,66,62.49,17.33,55,13.87
529,20,PA,1561606045,94,8.78,-82.64,78.8,3.87
530,100,CA,1561606045,64,60.75,-137.51,59.27,5.03
531,86,AR,1561606046,33,-35.66,-63.75,47.57,13.85
532,0,EG,1561606046,83,31.42,31.81,77,3.36
533,62,RU,1561606046,74,66.66,66.39,43.43,4.23
534,24,ID,1561606046,83,-5.67,132.75,78.35,21.63
535,87,TR,1561606047,95,40.73,31.61,64.13,0.34
536,100,PW,1561605846,89,7.04,134.26,79.79,14.54
537,1,US,1561605991,53,61.22,-149.89,77,10.29
538,100,MX,1561606047,96,17.31,-98.74,63.77,4.07
539,66,ID,1561606047,62,-0.9,119.87,85.55,6.44
540,75,US,1561606108,78,29.67,-95.02,84.2,4.7
541,100,RU,1561606108,70,54.46,64.85,56.75,5.37
542,1,US,1561605945,88,33.83,-87.28,79,3.47
543,73,CN,1561606109,80,25.49,103.8,70.43,15.08
544,100,GA,1561606109,96,1.03,10.67,65.57,2.48
545,90,CL,1561606109,100,-45.58,-72.07,35.6,3.67
546,0,PL,1561606109,88,52.23,20.24,75.99,12.75
547,75,US,1561606109,88,34.99,-86.85,79,0.36
548,11,RU,1561606110,30,59.36,143.24,78.71,13.67
549,0,AR,1561606110,53,-43.3,-65.11,46.49,20
550,100,NG,1561606110,97,4.92,6.26,73.13,2.68
551,0,PG,1561605976,72,-2.67,141.3,82.67,7.18
552,11,PG,1561606110,64,-3.15,142.36,84.65,6.64
553,40,TR,1561606111,93,39.78,30.52,64.4,5.82
554,0,FR,1561606111,88,45.68,6.39,72,1.12
555,100,EE,1561606111,93,57.82,26.93,55.4,2.24
